	mt	wt	WW1	WD1
GRMZM2G145029	15.8709	9.63559	9.63559	15.8709
GRMZM5G893397	3.61949	2.1388	2.1388	3.61949
GRMZM2G053019	48.0742	23.4613	23.4613	48.0742
GRMZM2G002756	13.2218	7.76262	7.76262	13.2218
GRMZM2G064626	0	0.121397	0.121397	0
GRMZM2G024674	0.344306	0.825291	0.825291	0.344306
GRMZM2G060837	0.515167	11.3352	11.3352	0.515167
GRMZM2G136262	15.3389	22.1211	22.1211	15.3389
GRMZM2G022740	0	0	0	0
GRMZM2G082207	53.2573	73.4058	73.4058	53.2573
GRMZM5G895831	0	0	0	0
AC203365.3_FG004	0	0	0	0
GRMZM2G105494	3.3411	6.07601	6.07601	3.3411
GRMZM2G034243	0.0762204	0.188659	0.188659	0.0762204
GRMZM2G454284	0	0	0	0
GRMZM2G144042	15.2119	8.92734	8.92734	15.2119
GRMZM2G166234	0	0	0	0
GRMZM2G007012	0	0.0370732	0.0370732	0
GRMZM2G034013	7.88578	21.4025	21.4025	7.88578
GRMZM2G180693	0	0	0	0
GRMZM5G858249	1.31695	4.32191	4.32191	1.31695
GRMZM2G145446	0	0	0	0
GRMZM2G168762	144.832	143.393	143.393	144.832
GRMZM2G409452	0	0	0	0
GRMZM2G173277	91.1782	142.457	142.457	91.1782
GRMZM2G445684	5.11038	6.19437	6.19437	5.11038
GRMZM2G081652	9.81573	28.4544	28.4544	9.81573
GRMZM2G402936	0.076494	0.15761	0.15761	0.076494
GRMZM2G108103	0	0	0	0
GRMZM2G041262	2.94373	2.17874	2.17874	2.94373
GRMZM2G391795	4.06753	26.9165	26.9165	4.06753
GRMZM2G081919	18.0145	15.2866	15.2866	18.0145
GRMZM5G814154	0	0	0	0
GRMZM2G089351	16.9592	19.3567	19.3567	16.9592
GRMZM2G018849	0	0	0	0
GRMZM2G459474	84.7372	122.958	122.958	84.7372
GRMZM2G059445	0.658479	9.5025	9.5025	0.658479
GRMZM2G013981	27.9843	25.0318	25.0318	27.9843
AC193744.3_FG009	0	0.0809841	0.0809841	0
GRMZM2G014282	0	0	0	0
GRMZM2G115578	0.533558	0.63981	0.63981	0.533558
GRMZM2G126552	14.4628	10.0389	10.0389	14.4628
GRMZM2G052776	0	0	0	0
GRMZM2G128518	30.0299	10.6897	10.6897	30.0299
GRMZM2G045638	150.762	0.106899	0.106899	150.762
GRMZM2G079888	14.5075	30.199	30.199	14.5075
GRMZM2G328795	0.595924	3.46577	3.46577	0.595924
GRMZM2G095299	3.88359	1.81805	1.81805	3.88359
GRMZM2G097342	11.4647	6.75305	6.75305	11.4647
GRMZM5G897604	12.648	9.15043	9.15043	12.648
GRMZM2G178435	0	0.00732427	0.00732427	0
GRMZM2G052619	3.57744	4.81091	4.81091	3.57744
